Sample_ID,Alisertib,Arsenic Trioxide,Axitinib,Azacitidine,Dasatinib,Doramapimod,Foretinib,GW-2580,Idelalisib,KI20227,Linifanib,Midostaurin,Motesanib,NVP-TAE684,Pazopanib,Quizartinib,Ruxolitinib,Sorafenib,Sunitinib,Vemurafenib,NF-kB Activation Inhibitor,Cabozantinib,Crizotinib,Cytarabine,Entospletinib,Ibrutinib,JQ1,Nutlin-3,Palbociclib,Panobinostat,Trametinib,Vandetanib,Venetoclax,Artemisinin,AT 101,Birabresib,Birinapant,Bortezomib,GSK2879552,Olaparib,AGI combo,Bosutinib,Nintedanib,Sirolimus,Vatalanib,Vismodegib,PH-797804,AZD5991,Dordaviprone,Telaglenastat,Decitabine
S361,0.044,,,,0.603,0.454,,,0.31,,,,,,,0.371,0.252,0.159,,0.0,,0.404,0.278,0.07,0.338,0.38,0.506,0.0,0.0,0.944,0.772,0.0,0.054,0.0,,,,,,,,,,,,,,,,,
S362,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,0.2,0.0,,,,,,,,,,,,,,,,,
S363,,,,,,,,,,,,,,,,,,,,,,,,,,0.644,,,,,,,0.03,0.0,,,,,,,,,,,,,,,,,
S364,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,,,,,,0.228,0.0,,,,,,,,,,,,,,,,,
C528,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,0.954,0.302,,,,,,,,,,,,,,,,,
S365,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,0.726,0.346,,,,,,,,,,,,,,,,,
S366,0.928,,,,0.0,0.75,,,0.432,,,,,,,0.647,0.157,0.43,,0.229,,0.208,0.442,0.516,0.0,0.462,0.0,0.042,0.0,0.27,0.818,0.046,0.0,0.804,,,,,,,,,,,,,,,,,
C187,0.166,,,,0.033,0.0,,,0.181,,,,,,,0.426,0.015,0.0,,0.0,,0.01,0.0,0.042,0.154,0.0,0.56,0.0,0.0,0.888,0.838,0.0,0.018,0.0,,,,,,,,,,,,,,,,,
S367,,,,,,,,,,,,,,,,,,,,,,,,,,0.372,,,,,,,0.432,0.1,,,,,,,,,,,,,,,,,
S368,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,,,,,,,0.61,0.326,,,,,,,,,,,,,,,,,
S369,,,,0.582,,0.49,,0.28,0.134,,,,,,,0.497,0.313,,,,,,,,,0.338,,,0.092,,0.0,,0.698,0.232,0.718,0.138,0.866,0.488,0.662,0.224,,,,,,,,,,,
S371,0.672,,,,0.243,0.87,,,0.254,,,,,,,0.592,0.317,0.579,,0.524,,0.0,0.182,0.286,0.0,0.054,0.42,0.084,0.314,,0.748,0.924,0.818,0.942,,,,,,,,,,,,,,,,,
S372,0.954,,,,0.013,0.69,,,0.126,,,,,,,0.612,0.259,0.592,,0.078,,0.0,0.095,0.646,0.016,0.054,0.48,0.762,0.256,0.918,0.782,0.624,0.95,0.954,,,,,,,,,,,,,,,,,
S373,0.168,,,,0.644,0.638,,,0.489,,,,,,,0.49,0.28,0.286,,0.086,,0.412,0.258,0.328,0.396,0.488,0.632,0.102,0.28,0.842,0.67,0.122,0.428,0.0,,,,,,,,,,,,,,,,,
S374,0.166,,,,0.726,0.734,,,0.469,,,,,,,0.625,0.135,0.362,,0.0,,0.666,0.376,0.27,0.344,0.136,0.63,0.0,0.208,0.68,0.718,0.338,0.4,0.154,,,,,,,,,,,,,,,,,
S375,0.032,,,,0.05,0.154,,,0.098,,,,,,,0.298,0.0,0.104,,0.031,,0.162,0.107,0.168,0.106,0.068,0.346,0.136,0.102,0.872,0.0,0.122,0.46,0.0,,,,,,,,,,,,,,,,,
S377,0.144,,,,0.28,0.348,,,0.022,,,,,,,0.781,0.004,0.326,,0.0,,0.366,0.108,0.254,0.338,0.262,0.218,0.214,0.154,0.768,0.574,0.298,0.714,0.0,,,,,,,,,,,,,,,,,
S378,0.096,,,,0.093,0.106,,,0.017,,,,,,,0.723,0.071,0.248,,0.005,,0.376,0.207,0.304,0.33,0.232,0.324,0.618,0.266,0.794,0.534,0.204,0.764,0.0,,,,,,,,,,,,,,,,,
S380,0.24,,,,0.817,0.826,,,0.336,,,,,,,0.378,0.234,0.35,,0.045,,0.684,0.272,0.308,0.656,0.548,0.62,0.0,0.284,0.946,0.92,0.138,0.22,0.0,,,,,,,,,,,,,,,,,
C185,0.328,,,,0.809,0.8,,,0.642,,,,,,,0.379,0.236,0.314,,0.103,,0.622,0.187,0.308,0.658,0.722,0.556,0.0,0.072,0.954,0.936,0.348,0.218,0.0,,,,,,,,,,,,,,,,,
S598,0.0,,,,0.128,0.552,,,0.001,,,,,,,0.343,0.201,0.409,,0.176,,0.134,0.345,0.38,0.328,0.32,0.642,0.0,0.268,0.0,0.358,0.218,0.498,0.342,,,,,,,,,,,,,,,,,
S381,,,,0.222,,0.2,,0.787,0.56,,,,,,,0.791,0.478,,,,,,,,,0.646,,,0.072,,0.382,,0.042,0.072,0.212,0.408,0.5,0.11,0.0,,,,,,,,,,,,
S382,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
S383,0.136,,,,0.682,0.44,,,0.388,,,,,,,0.514,0.219,0.314,,0.0,,0.522,0.337,0.292,0.33,0.114,0.632,0.062,0.046,0.858,0.774,0.116,0.148,0.0,,,,,,,,,,,,,,,,,
S385,0.204,,,,0.341,0.364,,,0.187,,,,,,,0.774,0.072,0.664,,0.051,,0.664,0.323,0.306,0.33,0.302,0.264,0.198,0.166,0.674,0.488,0.392,0.818,0.0,,,,,,,,,,,,,,,,,
S386,0.028,,,,0.458,0.394,,,0.247,,,,,,,0.532,0.153,0.162,,0.035,,0.364,0.274,0.274,0.606,0.262,0.214,0.0,0.054,0.598,0.296,0.208,0.33,0.0,,,,,,,,,,,,,,,,,
S387,0.292,,,,0.0,0.24,,,0.029,,,,,,,0.105,0.106,0.03,,0.0,,0.046,0.158,0.112,0.138,0.07,0.266,0.0,0.01,0.774,0.076,0.072,0.148,0.008,,,,,,,,,,,,,,,,,
S388,0.034,,,,0.65,0.55,,,0.217,,,,,,,0.586,0.273,0.426,,0.0,,0.456,0.299,0.272,0.376,0.26,0.398,0.106,0.026,,0.538,0.12,0.402,0.0,,,,,,,,,,,,,,,,,
C195,0.17,,,,0.596,0.54,,,0.243,,,,,,,0.545,0.251,0.318,,0.0,,0.344,0.252,0.236,0.526,0.414,0.458,0.006,0.244,0.722,0.714,0.178,0.49,0.202,,,,,,,,,,,,,,,,,
S390,,,,,,,,,,,,,,,,,,,,,,,,,,0.408,,,,,,,0.852,0.0,,,,,,,,,,,,,,,,,
C264,0.352,,,,0.833,0.672,,,0.56,,,,,,,0.711,0.121,0.238,,0.0,,0.754,0.176,0.392,0.41,0.0,0.53,0.0,0.404,0.934,0.892,0.0,,0.17,,,,,,,,,,,,,,,,,
S391,0.11,,,,0.604,0.416,,,0.329,,,,,,,0.723,0.175,0.366,,0.0,,0.592,0.232,0.054,0.442,0.322,0.43,0.058,0.094,0.912,0.754,0.0,0.104,0.0,,,,,,,,,,,,,,,,,
C274,0.194,,,,0.0,0.55,,,0.128,,,,,,,0.54,0.0,0.353,,0.036,,0.414,0.0,0.12,0.604,0.674,0.386,0.162,0.1,0.926,0.584,0.0,0.138,0.0,,,,,,,,,,,,,,,,,
S393,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,0.756,0.224,,,,,,,,,,,,,,,,,
S394,0.168,,,,0.395,0.322,,,0.254,,,,,,,0.344,0.207,0.416,,0.069,,0.378,0.294,0.254,0.312,0.49,0.5,0.252,0.202,0.766,0.324,0.274,0.73,0.024,,,,,,,,,,,,,,,,,
S395,0.198,,,,0.762,0.914,,,0.374,,,,,,,0.542,0.055,0.196,,0.0,,0.528,0.279,0.076,0.36,0.266,0.77,0.124,0.172,0.954,0.848,0.222,0.404,0.144,,,,,,,,,,,,,,,,,
S396,0.294,,,,,,,,0.31,,,,,,,0.44,0.216,0.425,,0.196,,0.332,0.336,,0.478,,,,,,0.774,0.38,,,,,,,,,,,,,,,,,,,
C253,0.008,,,,0.711,0.624,,,0.245,,,,,,,0.687,0.051,0.241,,0.0,,0.386,0.261,0.306,0.288,0.092,0.536,0.0,0.0,0.926,0.276,0.126,0.118,0.0,,,,,,,,,,,,,,,,,
S397,0.078,,,,0.776,0.668,,,0.47,,,,,,,0.565,0.09,0.465,,0.0,,0.478,0.369,0.128,0.364,0.336,0.504,0.074,0.106,,0.774,0.26,0.17,0.0,,,,,,,,,,,,,,,,,
S398,0.14,,,,0.254,0.426,,,0.127,,,,,,,0.309,0.193,0.245,,0.078,,0.256,0.134,0.192,0.4,0.088,0.486,0.096,0.302,0.0,0.242,0.38,0.824,0.166,,,,,,,,,,,,,,,,,
C205,0.046,,,,0.38,0.34,,,0.103,,,,,,,0.369,0.271,0.263,,0.316,,0.138,0.357,0.476,0.296,0.352,0.548,0.352,0.57,0.276,0.336,0.32,0.724,0.228,,,,,,,,,,,,,,,,,
S399,0.254,,,,,,,,0.464,,,,,,,0.51,0.486,0.516,,0.0,,0.504,0.566,,0.58,,,,,,0.758,0.414,,,,,,,,,,,,,,,,,,,
S400,0.344,,,,,,,,0.276,,,,,,,0.749,0.058,0.692,,0.0,,0.648,0.344,,0.382,,,,,,0.36,0.31,,,,,,,,,,,,,,,,,,,
C212,0.224,,,,0.114,0.4,,,0.004,,,,,,,0.809,0.037,0.708,,0.011,,0.642,0.284,0.33,0.32,0.26,0.1,0.132,0.216,0.562,0.468,0.38,0.776,0.0,,,,,,,,,,,,,,,,,
S401,0.248,,,,0.055,,,,0.089,,,,,,,0.209,0.118,0.064,,0.11,,0.314,0.2,0.172,0.338,0.26,0.2,0.066,0.256,0.292,0.72,0.322,0.954,0.384,,,,,,,,,,,,,,,,,
S402,0.014,,,,0.386,0.442,,,0.175,,,,,,,0.444,0.138,0.135,,0.0,,0.222,0.103,0.086,0.244,0.058,0.532,0.098,0.078,0.746,0.582,0.034,0.628,0.0,,,,,,,,,,,,,,,,,
C210,0.1,,,,0.438,0.402,,,0.125,,,,,,,0.465,0.233,0.178,,0.0,,0.25,0.218,0.2,0.172,0.428,0.572,0.318,0.24,0.868,0.592,0.186,0.728,0.182,,,,,,,,,,,,,,,,,
C211,0.05,,,,0.283,0.412,,,0.241,,,,,,,0.355,0.082,0.143,,0.032,,0.352,0.374,0.258,0.22,0.224,0.504,0.068,0.11,0.88,0.558,0.106,0.0,0.0,,,,,,,,,,,,,,,,,
S404,0.146,,,,0.072,0.298,,,0.124,,,,,,,0.285,0.007,0.121,,0.034,,0.07,0.124,0.044,0.168,0.032,0.374,0.066,0.12,0.288,0.014,0.102,0.868,0.0,,,,,,,,,,,,,,,,,
S405,0.084,,,,0.365,0.316,,,0.309,,,,,,,0.417,0.11,0.216,,0.06,,0.242,0.148,0.15,0.39,0.222,0.234,0.11,0.038,0.488,0.286,0.176,0.85,0.054,,,,,,,,,,,,,,,,,
S406,0.088,,,,0.675,0.266,,,0.174,,,,,,,0.723,0.102,0.501,,0.05,,0.468,0.141,0.43,0.27,0.192,0.274,0.08,0.15,0.746,0.762,0.198,0.716,0.0,,,,,,,,,,,,,,,,,
C216,0.092,,,,0.666,0.212,,,0.188,,,,,,,0.654,0.168,0.384,,0.005,,0.47,0.194,0.396,0.27,0.192,0.464,0.078,0.098,0.874,0.758,0.086,0.486,0.0,,,,,,,,,,,,,,,,,
C217,0.084,,,,0.679,0.214,,,0.177,,,,,,,0.628,0.212,0.401,,0.0,,0.388,0.218,0.354,0.288,0.152,0.488,0.074,0.052,0.824,0.78,0.124,0.364,0.0,,,,,,,,,,,,,,,,,
S407,0.058,,,,0.646,0.06,,,0.173,,,,,,,0.712,0.043,0.471,,0.0,,0.464,0.194,0.346,0.23,0.148,0.372,0.348,0.138,0.836,0.7,0.092,0.616,0.0,,,,,,,,,,,,,,,,,
S408,0.022,,,,0.402,0.154,,,0.363,,,,,,,0.272,0.368,0.385,,0.303,,0.0,0.307,0.34,0.0,0.104,0.502,0.064,0.064,0.872,0.318,0.092,0.17,0.0,,,,,,,,,,,,,,,,,
